"The data on this page were constructed as part of the paper ""Building a composite Help-Wanted Index"" (Barnichon, 2010). Anyone is free to download the data and use it in his/her own research, as long as he/she cites the aforementioned paper.",,
Update (02/2017): ,,
"Because of divergence in the online HWI series and the JOLTS (see Cajner and Radner 2016, ""A Cautionary Note on the Help Wanted Online Data""), I now rely solely on the JOLTS V (number of non-farm ads) past 2001Q1. ",,
"The composite HWI index over 1951Q1-200Q4 was converted in units of job openings rate, ie #V/(size of the Labor Force).",,
,,
See the paper for details and construction methods for the composite HWI over 1951-2000.,,
,,
year,V_hwi,V/LF
1980.17,4821.278989,4.53
1980.25,4256.547072,3.99
1980.33,3914.207531,3.66
1980.42,3967.976822,3.72
1980.50,3982.060575,3.72
1980.58,3999.855182,3.73
1980.67,4177.793488,3.90
1980.75,4189.769273,3.90
1980.83,4375.109504,4.07
1980.92,4207.54872,3.92
1981.00,4114.13623,3.81
1981.08,4182.396928,3.86
1981.17,4174.34479,3.85
1981.25,4168.512102,3.83
1981.33,4119.300219,3.77
1981.42,4148.267503,3.83
1981.50,4114.251593,3.79
1981.58,4080.455133,3.75
1981.67,3864.068858,3.57
1981.75,3648.243685,3.35
1981.83,3635.142553,3.33
1981.92,3463.27783,3.18
1982.00,3448.73817,3.16
1982.08,3319.022656,3.03
1982.17,3220.772486,2.94
1982.25,3086.087105,2.81
1982.33,3062.979316,2.77
1982.42,2889.906974,2.63
1982.50,2753.960917,2.50
1982.58,2676.527726,2.42
1982.67,2538.252587,2.29
1982.75,2538.779856,2.29
1982.83,2545.794833,2.29
1982.92,2649.234872,2.38
1983.00,2680.911347,2.42
1983.08,2679.433994,2.42
1983.17,2760.075728,2.50
1983.25,2827.559387,2.55
1983.33,3072.546706,2.77
1983.42,3081.896127,2.75
1983.50,3264.458024,2.92
1983.58,3319.830938,2.96
1983.67,3384.096812,3.01
1983.75,3703.967495,3.31
1983.83,3713.961582,3.31
1983.92,3862.604631,3.44
1984.00,3962.271329,3.53
1984.08,4143.167299,3.68
1984.17,4146.772772,3.68
1984.25,4328.210987,3.83
1984.33,4391.319714,3.86
1984.42,4481.979753,3.94
1984.50,4551.295915,3.99
1984.58,4392.594811,3.86
1984.67,4504.60446,3.96
1984.75,4532.093284,3.97
1984.83,4474.773058,3.92
1984.92,4660.349007,4.07
1985.00,4538.945754,3.96
1985.08,4566.157816,3.97
1985.17,4690.731712,4.07
1985.25,4562.921357,3.96
1985.33,4665.604324,4.05
1985.42,4654.713028,4.05
1985.50,4626.446243,4.01
1985.58,4646.597479,4.03
1985.67,4735.628195,4.09
1985.75,4659.543868,4.01
1985.83,4745.025499,4.09
1985.92,4624.906217,3.97
1986.00,4616.371919,3.96
1986.08,4602.675853,3.94
1986.17,4572.643305,3.90
1986.25,4598.077219,3.92
1986.33,4519.473386,3.85
1986.42,4802.826404,4.07
1986.50,4608.10255,3.90
1986.58,4652.608203,3.94
1986.67,4706.033067,3.97
1986.75,4688.931749,3.96
1986.83,4890.99467,4.12
1986.92,4626.904923,3.90
1987.00,4570.117883,3.85
1987.08,4845.044942,4.07
1987.17,5049.517182,4.23
1987.25,5008.186424,4.20
1987.33,5147.321981,4.29
1987.42,5131.709478,4.29
