Year,FERU,Generalized FERU
1995.5,0.0432,0.0464
1995.75,0.0433,0.0465
1996,0.0427,0.0459
1996.25,0.0424,0.0455
1996.5,0.0415,0.0446
1996.75,0.0425,0.0457
1997,0.0427,0.046
1997.25,0.0415,0.0447
1997.5,0.0416,0.0448
1997.75,0.0415,0.0448
1998,0.0419,0.0453
1998.25,0.041,0.0443
1998.5,0.0413,0.0446
1998.75,0.0407,0.044
1999,0.0414,0.0448
1999.25,0.0405,0.0438
1999.5,0.0401,0.0446
1999.75,0.0397,0.0442
2000,0.0406,0.0452
2000.25,0.0391,0.0435
2000.5,0.0386,0.043
2000.75,0.0375,0.0418
2001,0.0389,0.0433
2001.25,0.0376,0.0419
2001.5,0.0379,0.0423
2001.75,0.0383,0.0427
2002,0.0377,0.042
2002.25,0.0376,0.0419
2002.5,0.0368,0.041
2002.75,0.0372,0.0415
2003,0.0363,0.0404
2003.25,0.0364,0.0405
2003.5,0.0365,0.0407
2003.75,0.0359,0.04
2004,0.0366,0.0408
2004.25,0.0369,0.0411
2004.5,0.0362,0.0404
2004.75,0.0371,0.0413
2005,0.0376,0.0419
2005.25,0.037,0.0412
2005.5,0.0371,0.0414
2005.75,0.0376,0.0419
2006,0.0369,0.0411
2006.25,0.0378,0.0421
2006.5,0.0374,0.0417
2006.75,0.0368,0.041
2007,0.0371,0.0414
2007.25,0.0375,0.0418
2007.5,0.0377,0.042
2007.75,0.0381,0.0424
2008,0.0382,0.0425
2008.25,0.0379,0.0422
2008.5,0.0382,0.0425
2008.75,0.0381,0.0425
2009,0.0395,0.044
2009.25,0.0385,0.0428
2009.5,0.0384,0.0428
2009.75,0.0399,0.0376
2010,0.0415,0.0392
2010.25,0.0429,0.0407
2010.5,0.0427,0.0406
2010.75,0.0439,0.0419
2011,0.0429,0.041
2011.25,0.0437,0.0418
2011.5,0.0451,0.0433
2011.75,0.0452,0.0436
2012,0.0449,0.0434
2012.25,0.0453,0.0438
2012.5,0.0445,0.0431
2012.75,0.0439,0.0426
2013,0.0444,0.0432
2013.25,0.0444,0.0432
2013.5,0.0433,0.0423
2013.75,0.0431,0.0422
2014,0.0425,0.0416
2014.25,0.0427,0.0421
2014.5,0.0443,0.044
2014.75,0.0424,0.0421
2015,0.0433,0.0433
2015.25,0.0434,0.0435
2015.5,0.0426,0.0428
2015.75,0.0425,0.0428
2016,0.0426,0.043
2016.25,0.0428,0.0432
2016.5,0.0422,0.0425
2016.75,0.0417,0.042
2017,0.0408,0.0413
2017.25,0.0401,0.0407
2017.5,0.0411,0.0418
2017.75,0.0406,0.0413
2018,0.0403,0.0412
2018.25,0.0409,0.042
2018.5,0.0409,0.0421
2018.75,0.0418,0.0431
2019,0.0418,0.043
2019.25,0.0403,0.0416
2019.5,0.0396,0.0408
2019.75,0.0394,0.0406
